Date,Type,Stock,Qty,Price,Brokerage,Dividend
2023-01-15,BUY,RELIANCE,100,2500.00,25.00,0
2023-02-20,BUY,TCS,50,3200.00,20.00,0
2023-03-10,BUY,INFY,200,1500.00,30.00,0
2023-04-05,BUY,HDFC,75,2800.00,18.00,0
2023-05-12,SELL,RELIANCE,50,2650.00,15.00,0
2023-06-20,BUY,RELIANCE,80,2400.00,22.00,0
2023-07-15,BUY,TCS,30,3100.00,12.00,0
2023-08-10,SELL,TCS,40,3350.00,18.00,0
2023-09-05,BUY,INFY,100,1450.00,15.00,0
2023-10-20,SELL,INFY,150,1600.00,25.00,0
2023-11-15,BUY,HDFC,50,2900.00,14.00,0
2023-12-10,SELL,HDFC,25,3100.00,10.00,0
2024-01-15,BUY,WIPRO,200,800.00,20.00,0
2024-02-20,SELL,RELIANCE,75,2750.00,18.00,0
2024-03-10,SELL,TCS,35,3400.00,14.00,0
2024-04-05,BUY,BHARTIARTL,300,900.00,25.00,0
2024-04-15,BUY,RELIANCE,0,0.00,0.00,1250.00
2024-05-12,SELL,INFY,100,1650.00,16.00,0
2024-06-20,SELL,WIPRO,150,850.00,15.00,0
2024-07-15,BUY,ITC,500,450.00,22.00,0
2024-08-10,SELL,HDFC,50,3200.00,16.00,0
2024-08-25,SELL,BHARTIARTL,100,950.00,12.00,0